序号,参数层级,模块,参数名,Solidity Key/入口,作用域与Key维度,状态,当前/样例原始值,可读值,数据类型,精度或单位,设置入口,所需权限,Limited Keeper可改,当前路径必填,用途,E2E测试关注点,来源,备注
36,当前链上参数,定价与点差,MAX_POSITION_IMPACT_FACTOR,FX100Keys.MAX_POSITION_IMPACT_FACTOR,"marketIndex=market#2, isPositive=false",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：max position impact factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
37,当前链上参数,定价与点差,MAX_POSITION_IMPACT_FACTOR,FX100Keys.MAX_POSITION_IMPACT_FACTOR,"marketIndex=market#2, isPositive=true",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：max position impact factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
38,当前链上参数,定价与点差,MAX_PRICE_IMPACT_SPREAD,FX100Keys.MAX_PRICE_IMPACT_SPREAD,global 或按 Key builder,已设置,5000000000000000,0.005 (spread(1e18)),uint,spread(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,Price impact spread 的全局上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
39,当前链上参数,定价与点差,MAX_SKEW_IMPACT,FX100Keys.MAX_SKEW_IMPACT,marketIndex=market#1,已设置,5000000000000000,0.005 (skew(1e18)),int,通常为 1e18,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Skew impact 上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
40,当前链上参数,定价与点差,MAX_SKEW_IMPACT,FX100Keys.MAX_SKEW_IMPACT,marketIndex=market#2,已设置,5000000000000000,0.005 (skew(1e18)),int,通常为 1e18,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Skew impact 上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
41,当前链上参数,定价与点差,MIN_SKEW_IMPACT,FX100Keys.MIN_SKEW_IMPACT,marketIndex=market#1,已设置,-5000000000000000,-0.005 (skew(1e18)),int,通常为 1e18,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Skew impact 下限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
42,当前链上参数,定价与点差,MIN_SKEW_IMPACT,FX100Keys.MIN_SKEW_IMPACT,marketIndex=market#2,已设置,-5000000000000000,-0.005 (skew(1e18)),int,通常为 1e18,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,Skew impact 下限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
43,当前链上参数,定价与点差,POSITION_IMPACT_EXPONENT_FACTOR,FX100Keys.POSITION_IMPACT_EXPONENT_FACTOR,"marketIndex=market#1, isPositive=false",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：position impact exponent factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,同 key 探测 5 种类型，仅此型有值
44,当前链上参数,定价与点差,POSITION_IMPACT_EXPONENT_FACTOR,FX100Keys.POSITION_IMPACT_EXPONENT_FACTOR,"marketIndex=market#1, isPositive=true",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：position impact exponent factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,同 key 探测 5 种类型，仅此型有值
45,当前链上参数,定价与点差,POSITION_IMPACT_EXPONENT_FACTOR,FX100Keys.POSITION_IMPACT_EXPONENT_FACTOR,"marketIndex=market#2, isPositive=false",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：position impact exponent factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,同 key 探测 5 种类型，仅此型有值
46,当前链上参数,定价与点差,POSITION_IMPACT_EXPONENT_FACTOR,FX100Keys.POSITION_IMPACT_EXPONENT_FACTOR,"marketIndex=market#2, isPositive=true",已设置,1000000000000000000000000000000,1 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,合约允许配置项：position impact exponent factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,同 key 探测 5 种类型，仅此型有值
47,当前链上参数,定价与点差,PRICE_IMPACT_PARAMETER,FX100Keys.PRICE_IMPACT_PARAMETER,marketIndex=market#1,已设置,500000000000000000,0.5 (spread(1e18)),uint,spread(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,指数型价格冲击曲线参数。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
48,当前链上参数,定价与点差,PRICE_IMPACT_PARAMETER,FX100Keys.PRICE_IMPACT_PARAMETER,marketIndex=market#2,已设置,600000000000000000,0.6 (spread(1e18)),uint,spread(1e18),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,指数型价格冲击曲线参数。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
49,当前链上参数,定价与点差,SKEW_IMPACT_FACTOR,FX100Keys.SKEW_IMPACT_FACTOR,marketIndex=market#1,已设置,10000000000000000,0.01 (skew(1e18)),int,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,多空倾斜对成交价的影响系数。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
50,当前链上参数,定价与点差,SKEW_IMPACT_FACTOR,FX100Keys.SKEW_IMPACT_FACTOR,marketIndex=market#2,已设置,2500000000000000,0.0025 (skew(1e18)),int,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,多空倾斜对成交价的影响系数。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
51,当前链上参数,风控闸门,MAX_OPEN_INTEREST,FX100Keys.MAX_OPEN_INTEREST,"marketIndex=market#1, isLong=false",已设置,40000000000000000000000000000000000000,40000000 (USD(1e30)),uint,USD(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,市场按多空方向的 OI 硬上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
52,当前链上参数,风控闸门,MAX_OPEN_INTEREST,FX100Keys.MAX_OPEN_INTEREST,"marketIndex=market#1, isLong=true",已设置,40000000000000000000000000000000000000,40000000 (USD(1e30)),uint,USD(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,市场按多空方向的 OI 硬上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
53,当前链上参数,风控闸门,MAX_OPEN_INTEREST,FX100Keys.MAX_OPEN_INTEREST,"marketIndex=market#2, isLong=false",已设置,30000000000000000000000000000000000000,30000000 (USD(1e30)),uint,USD(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,市场按多空方向的 OI 硬上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
54,当前链上参数,风控闸门,MAX_OPEN_INTEREST,FX100Keys.MAX_OPEN_INTEREST,"marketIndex=market#2, isLong=true",已设置,30000000000000000000000000000000000000,30000000 (USD(1e30)),uint,USD(1e30),Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,是/当前部署路径,市场按多空方向的 OI 硬上限。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
55,当前链上参数,风控闸门,MAX_OPEN_INTEREST_FACTOR,FX100Keys.MAX_OPEN_INTEREST_FACTOR,"marketIndex=market#1, isLong=false",已设置,400000000000000000000000000000,0.4 (factor(1e30)),uint,factor(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,市场 OI 相对 LP 池价值的软上限比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
56,当前链上参数,风控闸门,MAX_OPEN_INTEREST_FACTOR,FX100Keys.MAX_OPEN_INTEREST_FACTOR,"marketIndex=market#1, isLong=true",已设置,400000000000000000000000000000,0.4 (factor(1e30)),uint,factor(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,市场 OI 相对 LP 池价值的软上限比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
57,当前链上参数,风控闸门,MAX_OPEN_INTEREST_FACTOR,FX100Keys.MAX_OPEN_INTEREST_FACTOR,"marketIndex=market#2, isLong=false",已设置,300000000000000000000000000000,0.3 (factor(1e30)),uint,factor(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,市场 OI 相对 LP 池价值的软上限比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
58,当前链上参数,风控闸门,MAX_OPEN_INTEREST_FACTOR,FX100Keys.MAX_OPEN_INTEREST_FACTOR,"marketIndex=market#2, isLong=true",已设置,300000000000000000000000000000,0.3 (factor(1e30)),uint,factor(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,市场 OI 相对 LP 池价值的软上限比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
59,当前链上参数,风控闸门,MAX_POSITION_SIZE_USD,FX100Keys.MAX_POSITION_SIZE_USD,marketIndex=market#1,已设置,8000000000000000000000000000000000000,8000000 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,单仓最大 USD 规模。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
60,当前链上参数,风控闸门,MAX_POSITION_SIZE_USD,FX100Keys.MAX_POSITION_SIZE_USD,marketIndex=market#2,已设置,6000000000000000000000000000000000000,6000000 (USD(1e30)),uint,USD(1e30),DataStore 直写(CONTROLLER),CONTROLLER,否,是/当前部署路径,单仓最大 USD 规模。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
61,当前链上参数,风控闸门,MIN_COLLATERAL_FACTOR,FX100Keys.MIN_COLLATERAL_FACTOR,marketIndex=market#1,已设置,10000000000000000000000000000,0.01 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,正常仓位最低抵押率。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
62,当前链上参数,风控闸门,MIN_COLLATERAL_FACTOR,FX100Keys.MIN_COLLATERAL_FACTOR,marketIndex=market#2,已设置,10000000000000000000000000000,0.01 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,正常仓位最低抵押率。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
63,当前链上参数,风控闸门,MIN_POSITION_SIZE_USD,FX100Keys.MIN_POSITION_SIZE_USD,"marketIndex[, side/flag]",已设置,10000000000000000000000000000000,10 (USD(1e30)),uint,USD(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,允许保留或创建的最小仓位 USD。,默认值、零值语义、权限和作用域维度,链上参数快照 base_sepolia_v0.3.1_260729,
64,当前链上参数,风控闸门,RESERVE_FACTOR,FX100Keys.RESERVE_FACTOR,marketIndex=market#1,已设置,400000000000000000000000000000,0.4 (factor(1e30)),uint,factor(1e30),Config(CONFIG_KEEPER),CONFIG_KEEPER,否,是/当前部署路径,市场保留的流动性比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,链上参数快照 base_sepolia_v0.3.1_260729,
